view,kind,delta,rot_deg,trans_frac,N,eps,K,radius,valid_frac,iou_mean,iou_p10,iou_p50,cap_bind_frac,psnr_oracle,lpips_oracle,psnr_oracle_valid,fallback_frac_tau0.01,fallback_frac_tau0.05,inversion_frac,inv_depth_gap_p50,psnr_stale_order,union_frac,quad_share,psnr_stale_sh,mean_candidates_per_pixel
0,rot_yaw,0.1,0.0998277,0,2627583,0.005,32,1,0.98849,0.894351,0.769231,0.909091,0.638333,35.2763,0.0108662,38.5998,0.289785,0.0176515,0.00050527,1.71661e-05,35.1187,0.243752,0.342135,35.2763,29.6703
0,rot_yaw,0.25,0.249931,0,2627583,0.005,32,1,0.984957,0.856408,0.703704,0.875,0.638666,31.0823,0.017914,37.9406,0.296149,0.0274424,0.00131929,4.91142e-05,30.9737,0.24313,0.342434,31.0823,29.6712
0,rot_yaw,0.5,0.499966,0,2627583,0.005,32,1,0.980057,0.84142,0.68,0.857143,0.6389,28.162,0.0254156,37.2638,0.302934,0.0372692,0.00263758,0.00010252,28.0941,0.242283,0.342435,28.162,29.6706
0,rot_yaw,1,0.999983,0,2627583,0.005,32,1,0.970163,0.849079,0.692308,0.866667,0.639309,25.4709,0.0337795,37.2024,0.310587,0.0461569,0.00516158,0.000191092,25.4329,0.240418,0.342519,25.4709,29.6784
0,rot_yaw,2,1.99999,0,2627583,0.005,32,1,0.950361,0.835495,0.666667,0.851852,0.642152,22.7688,0.0530316,36.6145,0.327867,0.0702978,0.00998102,0.000362396,22.7421,0.236788,0.342986,22.7688,29.7072
0,rot_yaw,4,4,0,2627583,0.005,32,1,0.91214,0.825393,0.666667,0.842105,0.646898,19.9675,0.0905054,36.3396,0.36024,0.110617,0.0188423,0.000661135,19.948,0.229434,0.343756,19.9675,29.7617
0,rot_pitch,0.1,0.0998277,0,2627583,0.005,32,1,0.98756,0.872337,0.733333,0.888889,0.639247,30.0693,0.00955827,40.1345,0.256834,0.0149466,0.000374094,1.45435e-05,30.0135,0.243786,0.342042,30.0693,29.6763
0,rot_pitch,0.25,0.249931,0,2627583,0.005,32,1,0.983574,0.843565,0.692308,0.857143,0.640199,25.9903,0.0217102,36.6007,0.322198,0.037874,0.000958253,3.62396e-05,25.9561,0.243477,0.342387,25.9903,29.6789
0,rot_pitch,0.5,0.499966,0,2627583,0.005,32,1,0.977241,0.82171,0.647059,0.84,0.64197,23.0629,0.0327113,34.0954,0.321001,0.0568464,0.00195337,7.86781e-05,23.0384,0.242936,0.34231,23.0629,29.6854
0,rot_pitch,1,0.999983,0,2627583,0.005,32,1,0.964635,0.852358,0.7,0.869565,0.644825,20.4552,0.0366913,38.0805,0.305713,0.0458219,0.00371805,0.000147343,20.444,0.24185,0.342824,20.4552,29.6932
0,rot_pitch,2,1.99999,0,2627583,0.005,32,1,0.940477,0.83352,0.666667,0.85,0.650053,17.677,0.0574401,38.0342,0.32217,0.0692138,0.00753027,0.000300169,17.669,0.239575,0.344099,17.677,29.6968
0,rot_pitch,4,4,0,2627583,0.005,32,1,0.89189,0.819356,0.653846,0.833333,0.661298,15.0103,0.106772,35.0693,0.374233,0.12032,0.0149372,0.000583649,15.0043,0.234438,0.345423,15.0103,29.7017
0,trans_x,0.25,0,0.0025,2627583,0.005,32,1,0.9887,0.917731,0.795918,0.944444,0.63852,34.9381,0.0111545,37.4342,0.282679,0.0167906,0,nan,34.7484,0.243624,0.34217,34.9327,29.6723
0,trans_x,0.5,0,0.005,2627583,0.005,32,1,0.987636,0.901008,0.761905,0.928571,0.638312,32.1251,0.0164297,34.7015,0.287163,0.0218398,0,nan,31.9859,0.2432,0.342436,32.1193,29.6694
0,trans_x,1,0,0.01,2627583,0.005,32,1,0.985305,0.899582,0.764706,0.928571,0.637682,28.9871,0.0251942,31.3932,0.296456,0.0277967,0,nan,28.9203,0.242491,0.343021,28.9806,29.6622
0,trans_x,2,0,0.02,2627583,0.005,32,1,0.980683,0.883747,0.727273,0.923077,0.636279,25.7896,0.0375506,28.0355,0.309972,0.0443111,0,nan,25.7417,0.240604,0.343787,25.782,29.6447
0,trans_x,4,0,0.04,2627583,0.005,32,1,0.971347,0.860052,0.6875,0.909091,0.633065,22.6916,0.0625138,24.8157,0.336639,0.0726998,0,nan,22.6661,0.236717,0.345538,22.6812,29.605
0,trans_x,8,0,0.08,2627583,0.005,32,1,0.952767,0.811568,0.588235,0.869565,0.628015,20.0165,0.105933,22.0105,0.382399,0.12211,0,nan,20.0001,0.229404,0.347812,19.9987,29.5688
0,trans_z,0.25,0,0.0025,2627583,0.005,32,1,0.990031,0.856214,0.705882,0.875,0.639139,37.7092,0.00827374,37.6684,0.299291,0.0245971,1.78961e-06,2.38419e-07,37.2921,0.243707,0.341929,37.7037,29.6741
0,trans_z,0.5,0,0.005,2627583,0.005,32,1,0.990137,0.839892,0.666667,0.857143,0.639441,37.8027,0.0082625,37.7657,0.295652,0.0279702,1.6966e-06,2.38419e-07,37.1559,0.243145,0.3419,37.791,29.6778
0,trans_z,1,0,0.01,2627583,0.005,32,1,0.990384,0.839562,0.666667,0.862069,0.63964,35.6486,0.0120425,35.6095,0.295809,0.0306596,1.78354e-06,2.38419e-07,35.2189,0.241693,0.341668,35.6346,29.6719
0,trans_z,2,0,0.02,2627583,0.005,32,1,0.990785,0.836516,0.666667,0.857143,0.641602,34.8897,0.0147617,34.8611,0.302666,0.0343118,8.38562e-07,0,34.4319,0.2399,0.341708,34.8639,29.6815
