view,kind,delta,has_corr_frac,valid_cycle_frac,iou_mean_cycle,iou_p10_cycle,iou_p50_cycle,psnr_stale_order_valid,psnr_stale_sh_valid,lpips_oracle_valid_masked,n_candidate_pairs,n_shared_pairs,cap_policy,time_s
0,rot_yaw,0.1,0.996994,0.987835,0.894409,0.769231,0.911765,38.2641,38.5998,0.00640444,32228073,19632055,center_depth,2.86623
0,rot_yaw,0.25,0.993356,0.984293,0.85644,0.703704,0.875,37.4302,37.9406,0.00794653,32111387,19078736,center_depth,2.12326
0,rot_yaw,0.5,0.988273,0.979348,0.841458,0.681818,0.857143,36.7305,37.2638,0.00934677,31946495,18774500,center_depth,2.09036
0,rot_yaw,1,0.978023,0.969495,0.849105,0.692308,0.866667,36.6531,37.2024,0.00923101,31623404,18674132,center_depth,2.11606
0,rot_yaw,2,0.957374,0.94967,0.835524,0.666667,0.851852,35.9802,36.6145,0.00953869,30985834,18098594,center_depth,2.05558
0,rot_yaw,4,0.918386,0.911434,0.82543,0.666667,0.842105,35.498,36.3396,0.0108062,29778499,17238157,center_depth,2.02142
0,rot_pitch,0.1,0.996043,0.987018,0.872353,0.733333,0.888889,39.5921,40.1345,0.00518395,32203752,19303082,center_depth,2.17841
0,rot_pitch,0.25,0.992037,0.982988,0.843571,0.692308,0.857143,36.2169,36.6007,0.0113862,32077103,18888820,center_depth,2.15532
0,rot_pitch,0.5,0.985641,0.97657,0.821717,0.647059,0.84,33.788,34.0954,0.0168779,31877258,18420214,center_depth,2.11388
0,rot_pitch,1,0.972871,0.963824,0.852413,0.7,0.869565,37.4565,38.0805,0.00747028,31472529,18625387,center_depth,2.08681
0,rot_pitch,2,0.948642,0.93973,0.833559,0.666667,0.85,37.198,38.0342,0.00772552,30692410,17895842,center_depth,2.07097
0,rot_pitch,4,0.899633,0.891115,0.819379,0.653846,0.833333,34.4347,35.0693,0.0135138,29111610,16803763,center_depth,1.98714
0,trans_x,0.25,0.997215,0.987435,0.918229,0.8,0.944444,37.0991,37.4246,0.00775741,32237343,19891644,center_depth,2.00835
0,trans_x,0.5,0.996145,0.984824,0.902582,0.761905,0.928571,34.4497,34.6909,0.0108069,32199593,19648049,center_depth,2.01825
0,trans_x,1,0.993864,0.979038,0.90368,0.769231,0.931035,31.2764,31.3818,0.0166058,32118117,19556405,center_depth,2.03428
0,trans_x,2,0.989176,0.966214,0.893494,0.75,0.923077,27.9542,28.0226,0.0244663,31947722,19200142,center_depth,1.98547
0,trans_x,4,0.979875,0.944866,0.879443,0.722222,0.909091,24.7731,24.7982,0.041384,31604968,18604119,center_depth,1.98364
0,trans_x,8,0.961045,0.906327,0.846416,0.666667,0.875,21.9834,21.981,0.068652,30959663,17459741,center_depth,1.95215
0,trans_z,0.25,0.998477,0.989311,0.856258,0.705882,0.875,37.2511,37.6629,0.00808734,32280132,19169211,center_depth,2.08914
0,trans_z,0.5,0.998513,0.989309,0.839957,0.666667,0.857143,37.1182,37.7539,0.00819503,32285281,18945230,center_depth,2.08867
0,trans_z,1,0.998603,0.989129,0.839744,0.666667,0.862069,35.1796,35.5955,0.0119525,32281776,18913221,center_depth,2.13492
0,trans_z,2,0.998755,0.98748,0.837855,0.666667,0.857143,34.4025,34.8352,0.0145444,32297175,18868843,center_depth,2.07647
0,trans_z,4,0.999054,0.982436,0.829851,0.652174,0.851852,31.4436,31.6892,0.0210773,32310917,18697099,center_depth,2.02564
0,trans_z,8,0.999584,0.978452,0.816358,0.633333,0.84,28.2976,28.3913,0.0348475,32334798,18438918,center_depth,2.04425
40,rot_yaw,0.1,0.998458,0.996976,0.905252,0.785714,0.923077,40.2519,40.718,0.00647446,31924088,20034820,center_depth,2.26976
40,rot_yaw,0.25,0.994673,0.993184,0.870577,0.722222,0.888889,39.0806,39.7026,0.00829224,31804403,19530647,center_depth,2.26732
40,rot_yaw,0.5,0.98936,0.98787,0.856948,0.703704,0.875,38.3906,39.0226,0.00910247,31637009,19241996,center_depth,2.25293
